Inst_Name,Course_name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",GEN,GUJCET-Based,Self-Finance,4697,7942,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",EWS,GUJCET-Based,Self-Finance,8032,8135,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",SEBC,GUJCET-Based,Self-Finance,10483,14230,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",SC,GUJCET-Based,Self-Finance,17175,20091,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE",ESM,GUJCET-Based,Self-Finance,28234,28234,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ARTIFICIAL INTELLIGENCE AND DATA
SCIENCE - TFWS",TFWs,GUJCET-Based,Self-Finance,4175,4660,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",AUTOMOBILE ENGINEERING,GEN,GUJCET-Based,Self-Finance,23170,35898,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",CIVIL ENGINEERING,GEN,GUJCET-Based,Self-Finance,19653,38360,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,GEN,GUJCET-Based,Self-Finance,3534,4413,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,EWS,GUJCET-Based,Self-Finance,4440,4683,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SEBC,GUJCET-Based,Self-Finance,5718,6703,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,SC,GUJCET-Based,Self-Finance,11209,11816,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING,ESM,GUJCET-Based,Self-Finance,12075,12075,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER ENGINEERING - TFWS,TFWs,GUJCET-Based,Self-Finance,2166,2668,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,GEN,GUJCET-Based,Self-Finance,6125,8534,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,EWS,GUJCET-Based,Self-Finance,8605,8800,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SEBC,GUJCET-Based,Self-Finance,9350,15590,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN,SC,GUJCET-Based,Self-Finance,22081,24875,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",COMPUTER SCIENCE & DESIGN - TFW,TFWs,GUJCET-Based,Self-Finance,2625,4664,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,13275,29081,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,30816,38390,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",DAIRY TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,34260,34924,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,15199,27033,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,29248,29248,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,30590,37290,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,SC,GUJCET-Based,Self-Finance,31592,31592,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRICAL ENGINEERING,ST,GUJCET-Based,Self-Finance,38020,38020,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",ELECTRONICS & COMMUNICATION ENGINEERING,GEN,GUJCET-Based,Self-Finance,8697,11934,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGINEERING",EWS,GUJCET-Based,Self-Finance,12755,13451,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGINEERING",SEBC,GUJCET-Based,Self-Finance,13353,26097,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD","ELECTRONICS & COMMUNICATION
ENGINEERING",SC,GUJCET-Based,Self-Finance,27824,27824,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,70,9497,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,9707,16066,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,10878,21651,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,SC,GUJCET-Based,Self-Finance,20922,27360,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY,ST,GUJCET-Based,Self-Finance,36246,37547,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",FOOD PROCESSING TECHNOLOGY - TFWS,TFWs,GUJCET-Based,Self-Finance,3419,7907,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,GEN,GUJCET-Based,Self-Finance,3983,6011,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,EWS,GUJCET-Based,Self-Finance,6074,6429,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SEBC,GUJCET-Based,Self-Finance,6081,10263,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,SC,GUJCET-Based,Self-Finance,13897,18753,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ESM,GUJCET-Based,Self-Finance,28967,28967,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY,ST,GUJCET-Based,Self-Finance,35925,35925,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",INFORMATION TECHNOLOGY - TFWS,TFWs,GUJCET-Based,Self-Finance,2701,3430,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,GEN,GUJCET-Based,Self-Finance,13857,28939,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,EWS,GUJCET-Based,Self-Finance,28974,37828,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,SEBC,GUJCET-Based,Self-Finance,33600,38659,KARAMSAD
"A.D.PATEL INSTITUTE OF TECH.,KARAMSAD",MECHANICAL ENGINEERING,SC,GUJCET-Based,Self-Finance,36279,36279,KARAMSAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",GEN,GUJCET-Based,Self-Finance,303,3830,AHMEDABAD
"ADANI UNIVERSITY - FACULTY OF ENGINEERING SCIENCES & TECHNOLOGY (AU-FEST), AHMEDABAD","COMPUTER SCIENCE & ENGINEERING
(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)",EWS,GUJCET-Based,Self-Finance,3933,4378,AHMEDABAD
