Course_name,Inst_Name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",SEBC,GUJCET Based,Govt / GIA,3819,4430,GANDHINAGAR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",ST,GUJCET Based,Govt / GIA,25672,33623,GANDHINAGAR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",SC,JEE Based,Govt / GIA,905986,905986,GANDHINAGAR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",ST,JEE Based,Govt / GIA,915090,915090,GANDHINAGAR
"COMPUTER ENGINEERING -
TFWS","GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",TFWs,GUJCET Based,Govt / GIA,2254,2303,GANDHINAGAR
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",EWS,GUJCET Based,Govt / GIA,22893,24070,GANDHINAGAR
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",SC,GUJCET Based,Govt / GIA,37324,37705,GANDHINAGAR
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",SEBC,GUJCET Based,Govt / GIA,27420,37653,GANDHINAGAR
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",EWS,JEE Based,Govt / GIA,905941,905941,GANDHINAGAR
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, SECTOR
28 GANDHINAGAR",GEN,JEE Based,Govt / GIA,903816,904500,GANDHINAGAR
