Course_name,Inst_Name,Alloted_Cat,Quota,Institute Type,First Rank,Last Rank,City
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",EWS,GUJCET Based,Govt / GIA,11502,13497,BHARUCH
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHARUCH",EWS,GUJCET Based,Govt / GIA,25867,34009,BHARUCH
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",GEN,GUJCET Based,Govt / GIA,18523,22173,BHARUCH
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHARUCH",SEBC,GUJCET Based,Govt / GIA,27904,39035,BHARUCH
"ELECTRONICS &
COMMUNICATION ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHARUCH",GEN,JEE Based,Govt / GIA,904817,904907,BHARUCH
"ELECTRONICS & COMMUNICATION
ENGINEERING - TFWS","GOVERNMENT ENGINEERING COLLEGE, BHARUCH",TFWs,GUJCET Based,Govt / GIA,15467,16122,BHARUCH
MECHANICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",GEN,GUJCET Based,Govt / GIA,20144,37979,BHARUCH
MECHANICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHARUCH",GEN,JEE Based,Govt / GIA,906336,908835,BHARUCH
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",GEN,GUJCET Based,Govt / GIA,20035,25797,BHAVNAGAR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",EWS,GUJCET Based,Govt / GIA,5485,6083,BHAVNAGAR
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",SEBC,GUJCET Based,Govt / GIA,4772,8969,BHAVNAGAR
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",EWS,GUJCET Based,Govt / GIA,22382,25069,BHAVNAGAR
ELECTRONICS & COMMUNICATION ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",GEN,GUJCET Based,Govt / GIA,1314,21621,BHAVNAGAR
"ELECTRONICS & COMMUNICATION
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",SEBC,GUJCET Based,Govt / GIA,21627,40008,BHAVNAGAR
"INFORMATION & COMMUNICATION
TECHNOLOGY","GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",EWS,GUJCET Based,Govt / GIA,19569,23904,BHAVNAGAR
INFORMATION & COMMUNICATION TECHNOLOGY,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",GEN,GUJCET Based,Govt / GIA,13051,19401,BHAVNAGAR
"INFORMATION & COMMUNICATION
TECHNOLOGY","GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",SC,GUJCET Based,Govt / GIA,39870,39870,BHAVNAGAR
INFORMATION & COMMUNICATION TECHNOLOGY,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",SEBC,GUJCET Based,Govt / GIA,22463,32042,BHAVNAGAR
"INFORMATION & COMMUNICATION
TECHNOLOGY","GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",EWS,JEE Based,Govt / GIA,904580,904580,BHAVNAGAR
"INFORMATION & COMMUNICATION
TECHNOLOGY","GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",GEN,JEE Based,Govt / GIA,902235,902235,BHAVNAGAR
INFORMATION & COMMUNICATION TECHNOLOGY,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",SC,JEE Based,Govt / GIA,926903,926903,BHAVNAGAR
INFORMATION & COMMUNICATION TECHNOLOGY - TFWS,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",TFWs,GUJCET Based,Govt / GIA,11045,11045,BHAVNAGAR
INFORMATION TECHNOLOGY,"GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",SEBC,GUJCET Based,Govt / GIA,10585,12545,BHAVNAGAR
CHEMICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHUJ",GEN,GUJCET Based,Govt / GIA,31490,50012,BHUJ
CHEMICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHUJ",GEN,JEE Based,Govt / GIA,907617,931865,BHUJ
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHUJ",GEN,GUJCET Based,Govt / GIA,34879,34879,BHUJ
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHUJ",GEN,GUJCET Based,Govt / GIA,28199,39312,BHUJ
ELECTRICAL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHUJ",GEN,JEE Based,Govt / GIA,910810,918191,BHUJ
"MECHANICAL
ENGINEERING","GOVERNMENT ENGINEERING COLLEGE, BHUJ",GEN,JEE Based,Govt / GIA,911242,921592,BHUJ
MINING ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, BHUJ",GEN,GUJCET Based,Govt / GIA,29665,29665,BHUJ
CIVIL ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",GEN,JEE Based,Govt / GIA,924814,924814,DAHOD
COMPUTER ENGINEERING,"GOVERNMENT ENGINEERING COLLEGE, DAHOD",EWS,GUJCET Based,Govt / GIA,22452,24506,DAHOD
